Class,Superorder,Order,Family,Genus,species_binomial,EDGE Scientific name
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Schroederobatis,Schroederobatis americana,Anacanthobatis americanus
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis andamanensis,NA
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis borneensis,Sinobatis borneensis
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis brevicauda,NA
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis bulbicauda,Sinobatis bulbicauda
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis caerulea,Sinobatis caerulea
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis filicauda,Sinobatis filicauda
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis kotlyari,NA
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis melanosoma,Sinobatis melanosoma
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Sinobatis,Sinobatis stenosoma,Anacanthobatis stenosoma
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Springeria,Springeria folirostris,Anacanthobatis folirostris
Elasmobranchii,Batoidea,Rajiformes,Anacanthobatidae,Springeria,Springeria longirostris,Anacanthobatis longirostris
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Arctoraja,Arctoraja sexoculata,NA
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Arhynchobatis,Arhynchobatis asperrimus,Arhynchobatis asperrimus
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Atlantoraja,Atlantoraja castelnaui,Atlantoraja castelnaui
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Atlantoraja,Atlantoraja cyclophora,Atlantoraja cyclophora
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Atlantoraja,Atlantoraja platana,Atlantoraja platana
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja abyssicola,Bathyraja abyssicola
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja aguja,Bathyraja aguja
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja albomaculata,Rhinoraja albomaculata
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Bathyraja,Bathyraja aleutica,Bathyraja aleutica
