Class,Superorder,Order,Family,Genus,species_binomial,EDGE.Scientific.name,OldRLCategory,OldRLYear,GSTPRLCategory,GSTRLYear,MaxLinearDimension,MeasurementType,BodySizeClass,length.weight.a,length.weight.b,mass_50,mass_75,mass_max
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Brochiraja,Brochiraja vittacauda,Brochiraja vittacauda,NE,NA,DD,2017,72,TL,medium,0.00513,3.12,367.9435274,1303.724706,3198.856469
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Insentiraja,Insentiraja laxipella,Insentiraja laxipella,DD,2008,DD,2015,57,TL,medium,0.00513,3.12,177.5142935,628.9817675,1543.287771
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Insentiraja,Insentiraja subtilispinosa,Insentiraja subtilispinosa,LC,2008,LC,2015,57,TL,medium,0.00513,3.12,177.5142935,628.9817675,1543.287771
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Irolita,Irolita waitii,Irolita waitii,LC,2008,LC,2015,52,TL,medium,0.00513,3.12,133.3012466,472.3228312,1158.904895
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Irolita,Irolita westraliensis,Irolita westraliensis,LC,2010,DD,2015,43,TL,small,0.00513,3.12,73.67588478,261.0538414,640.5292202
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Notoraja,Notoraja alisae,Notoraja alisae,NE,NA,LC,2017,84,TL,medium,0.00513,3.12,595.1893494,2108.918902,5174.504127
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Notoraja,Notoraja azurea,Notoraja azurea,LC,2010,LC,2015,64.5,TL,medium,0.00513,3.12,261.0538414,924.9852694,2269.570484
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Notoraja,Notoraja fijiensis,Notoraja fijiensis,NE,NA,LC,2017,39,TL,small,0.00513,3.12,54.32820454,192.4997105,472.3228312
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Notoraja,Notoraja hirticauda,Notoraja hirticauda,DD,2004,DD,2015,44.8,TL,small,0.00513,3.12,83.73194554,296.6852193,727.9553946
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Notoraja,Notoraja inusitata,Notoraja inusitata,NE,NA,LC,2017,44,TL,small,0.00513,3.12,79.15459466,280.4664113,688.1604604
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Notoraja,Notoraja lira,Notoraja lira,LC,2010,DD,2017,41.5,TL,small,0.00513,3.12,65.94985429,233.6783991,573.3600467
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Notoraja,Notoraja longiventralis,Notoraja longiventralis,NE,NA,LC,2017,43,TL,small,0.00513,3.12,73.67588478,261.0538414,640.5292202
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Notoraja,Notoraja martinezi,NA,NE,NA,LC,2020,48,TL,small,0.00513,3.12,103.8428118,367.9435274,902.7968305
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Notoraja,Notoraja ochroderma,Notoraja ochroderma,DD,2008,DD,2015,37,TL,small,0.00513,3.12,46.09917548,163.3420064,400.780649
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Notoraja,Notoraja sapphira,Notoraja sapphira,DD,2010,DD,2017,41.3,TL,small,0.00513,3.12,64.96327932,230.1826937,564.7828834
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Notoraja,Notoraja sereti,NA,NE,NA,LC,2020,45.9,TL,small,0.00513,3.12,90.31489004,320.0103949,785.1867169
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Notoraja,Notoraja sticta,Notoraja sticta,LC,2010,LC,2015,63,TL,medium,0.00513,3.12,242.5751412,859.5101728,2108.918902
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Notoraja,Notoraja tobitukai,Notoraja tobitukai,DD,2004,LC,2020,51,TL,medium,0.00513,3.12,125.4650396,444.5570034,1090.777861
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Pavoraja,Pavoraja alleni,Pavoraja alleni,LC,2010,LC,2015,34.9,TL,small,0.00513,3.12,38.41661637,136.1205951,333.9894105
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Pavoraja,Pavoraja arenaria,Pavoraja arenaria,DD,2010,DD,2015,34.3,TL,small,0.00513,3.12,36.39329964,128.9514297,316.3989398
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Pavoraja,Pavoraja mosaica,Pavoraja mosaica,LC,2010,LC,2015,28,TL,small,0.00513,3.12,19.32132192,68.46073614,167.9772329
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Pavoraja,Pavoraja nitida,Pavoraja nitida,NT,2010,LC,2015,36.8,TL,small,0.00513,3.12,45.32616474,160.6030176,394.0601872
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Pavoraja,Pavoraja pseudonitida,Pavoraja pseudonitida,LC,2010,LC,2015,37,TL,small,0.00513,3.12,46.09917548,163.3420064,400.780649
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Pavoraja,Pavoraja umbrosa,Pavoraja umbrosa,NE,NA,LC,2015,36.9,TL,small,0.00513,3.12,45.71155982,161.968578,397.4107655
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Psammobatis,Psammobatis bergi,Psammobatis bergi,LC,2004,LC,2020,61,TL,medium,0.00513,3.12,219.3475884,777.2085903,1906.98137
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Psammobatis,Psammobatis extenta,Psammobatis extenta,LC,2004,LC,2020,35,TL,small,0.00513,3.12,38.76109854,137.3411898,336.9842967
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Psammobatis,Psammobatis lentiginosa,Psammobatis lentiginosa,DD,2007,LC,2020,55,TL,medium,0.00513,3.12,158.7944685,562.6522995,1380.539879
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Psammobatis,Psammobatis normani,Psammobatis normani,LC,2004,LC,2021,58,TL,medium,0.00513,3.12,187.4127436,664.0546877,1629.343697
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Psammobatis,Psammobatis rudis,Psammobatis rudis,DD,2004,LC,2020,53,TL,medium,0.00513,3.12,141.4635303,501.2440381,1229.866801
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Psammobatis,Psammobatis rutrum,Psammobatis rutrum,DD,2007,LC,2020,32,TL,small,0.00513,3.12,29.30702339,103.8428118,254.7917123
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Psammobatis,Psammobatis scobina,Psammobatis scobina,DD,2007,LC,2020,50,TL,medium,0.00513,3.12,117.9478944,417.9216986,1025.42471
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Pseudoraja,Pseudoraja fischeri,Pseudoraja fischeri,DD,2008,LC,2020,58,TL,medium,0.00513,3.12,187.4127436,664.0546877,1629.343697
Elasmobranchii,Batoidea,Rajiformes,Arhynchobatidae,Rhinoraja,Rhinoraja kujiensis,Rhinoraja kujiensis,LC,2007,LC,2020,104,TL,large,0.00513,3.12,1158.904895,4106.317496,10075.37881
